,product_name,refridgerated,frozen,dry
198,Hash Browns Country Style,0,1,0
199,Dairy Free Vegetable Pot Pie,0,1,0
200,Sparkling Water Grapefruit,0,0,1
201,100% Whole Wheat Bread,0,0,1
202,Extra Virgin Olive Oil,0,0,1
203,Organic Black Beans,0,0,1
204,Soda,0,0,1
205,100% Recycled Paper Towels,0,0,1
206,Honey Nut Cheerios,0,0,1
207,Original Orange Juice,0,0,1
208,Lightly Salted Baked Snap Pea Crisps,0,0,1
209,Organic Bread with 21 Whole Grains,0,0,1
210,Organic Diced Tomatoes,0,0,1
211,Organic Raw Kombucha Gingerade,0,0,1
212,Creamy Almond Butter,0,0,1
213,Marinara Sauce,0,0,1
214,Lemonade,0,0,1
215,Organic Old Fashioned Rolled Oats,0,0,1
216,Sustainably Soft Bath Tissue,0,0,1
217,Fridge Pack Cola,0,0,1
218,Sea Salt Pita Chips,0,0,1
219,Organic Low Sodium Chicken Broth,0,0,1
220,Trilogy Kombucha Drink,0,0,1
221,Original Veggie Straws,0,0,1
222,Basil Pesto,0,0,1
223,Organic AppleApple,0,0,1
224,Organic Ketchup,0,0,1
225,Raisin Bran Cereal,0,0,1
226,Spaghetti,0,0,1
227,Pretzel Crisps Original Deli Style Pretzel Crackers,0,0,1
228,Original Nooks & Crannies English Muffins,0,0,1
229,Mild Salsa,0,0,1
230,Strawberry Preserves,0,0,1
231,Corn Tortillas,0,0,1
232,Trail Mix,0,0,1
233,Organic Bunny Fruit Snacks Berry Patch,0,0,1
234,Chocolate Chip Cookies,0,0,1
235,Baked Aged White Cheddar Rice and Corn Puffs,0,0,1
236,Ginger Ale,0,0,1
237,Cinnamon Rolls with Icing,0,0,1
238,Almonds & Sea Salt in Dark Chocolate,0,0,1
239,Light Brown Sugar,0,0,1
240,Organic Whole Kernel Sweet Corn No Salt Added,0,0,1
241,Whole Almonds,0,0,1
242,Hint Of Sea Salt Almond Nut Thins,0,0,1
243,Organic Whole Cashews,0,0,1
244,Organic Thompson Seedless Raisins,0,0,1
245,Aluminum Foil,0,0,1
246,Organic Chicken Stock,0,0,1
247,100 Calorie  Per Bag Popcorn,0,0,1
248,Plain Bagels,0,0,1
249,Organic Macaroni Shells & Real Aged Cheddar,0,0,1
250,Organic Sea Salt Roasted Seaweed Snacks,0,0,1
251,Organic Strawberry Fruit Spread,0,0,1
252,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,0,0,1
253,Organic Dijon Mustard,0,0,1
254,Dried Mango,0,0,1
255,Organic Medjool Dates,0,0,1
256,Sliced Black Olives,0,0,1
257,Coke Classic,0,0,1
258,Organic Vanilla Extract,0,0,1
259,Real Mayonnaise,0,0,1
260,Authentic French Brioche Hamburger Buns,0,0,1
261,Extra Fancy Unsalted Mixed Nuts,0,0,1
262,Chopped Walnuts,0,0,1
263,Walnut Halves & Pieces,0,0,1
264,Taco Seasoning,0,0,1
265,Orange Calcium & Vitamin D Pulp Free,0,0,1
266,Organic Distilled White Vinegar,0,0,1
267,Natural Free & Clear Dish Liquid,0,0,1
268,Penne Rigate,0,0,1
269,Macaroni Shells & White Cheddar Cheese,0,0,1
270,Apple Cinnamon GoGo Squeez,0,0,1
271,"Juice Beverage, Cold Pressed, Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon",0,0,1
272,Baby Food Stage 2 Blueberry Pear & Purple Carrot,0,0,1
273,Spinach Peas & Pear Stage 2 Baby Food,0,0,1
274,Organic Short Grain Brown Rice,0,0,1
275,100% Pure Pumpkin,0,0,1
276,Cold Brew Coffee,0,0,1
277,Organic Unbleached All-Purpose Flour,0,0,1
278,Panko Bread Crumbs,0,0,1
279,Oats & Honey Gluten Free Granola,0,0,1
280,Sauvignon Blanc,0,0,1
281,Root Beer,0,0,1
282,Spaghetti Pasta,0,0,1
283,Organic Red Lentils,0,0,1
284,Flaky Biscuits,0,0,1
285,Pure Baking Soda,0,0,1
286,Authentic French Brioche,0,0,1
287,Organic Whole Wheat Fusilli,0,0,1
288,ZBar Organic Chocolate Brownie Energy Snack,0,0,1
289,Dark Chocolate Pretzels with Sea Salt,0,0,1
290,Cucumber & Garlic  Tzatziki,0,0,1
291,Raisins,0,0,1
292,Organic Chicken Noodle Soup,0,0,1
293,Sweet Baguette,0,0,1
294,Organic Raw Multigreen Kobmbucha,0,0,1
295,Original Beef Jerky,0,0,1
296,Ranch Dressing,0,0,1
297,Lemon Verbena Dish Soap,0,0,1
298,Peanut Butter Creamy With Salt,0,0,1
299,Crackers Harvest Whole Wheat,0,0,1
300,Premium Unsweetened Iced Tea,0,0,1
301,Sourdough Baguette,0,0,1
302,Gallon Freezer Bags,0,0,1
303,Garlic Powder,0,0,1
304,Free & Clear Unscented Baby Wipes,0,0,1
305,Gluten Free SpongeBob Spinach Littles,0,0,1
306,Dried Sweetened Cranberries,0,0,1
307,Pitted Dates,0,0,1
308,Mild Diced Green Chiles,0,0,1
309,Garlic Couscous,0,0,1
310,Oregano,0,0,1
311,Cabernet Sauvignon,0,0,1
312,Chardonnay,0,0,1
313,Original Instant Oatmeal,0,0,1
314,"Tomatoes, Whole Peeled",0,0,1
315,Kids Sensible Foods Broccoli Littles,0,0,1
316,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,0,0,1
317,Coke Zero,0,0,1
318,Vodka,0,0,1
319,Plain Bagelettes,0,0,1
320,Just Mayo,0,0,1
321,Naked Green Machine Boosted Juice Smoothie,0,0,1
322,Macaroni & Cheese Dinner Original Flavor,0,0,1
323,Free & Clear Natural Laundry Detergent For Sensitive Skin,0,0,1
324,Major Dickason's Blend Ground Coffee Dark Roast,0,0,1
325,Pink Lady Apple Kombucha,0,0,1
326,French Baguette,0,0,1
327,"Organic Pears, Peas and Broccoli Puree Stage 1",0,0,1
328,Gluten Free Pretzel Sticks,0,0,1
329,Peanut Butter Whole Grain Clusters,0,0,1
330,Ground Cumin,0,0,1
331,Coconut Cream Pie,0,0,1
332,Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage,0,0,1
333,Baby Food Stage 2 Pumpkin Banana,0,0,1
334,"Ginger Root Beer, Naturally Flavored Zero Calorie Soda, Caffeine Free",0,0,1
335,Classic Mix Variety,0,0,1
336,Organic Kosher Dill Pickles,0,0,1
337,Tangerine,0,0,1
338,Wild Albacore Tuna No Salt Added,0,0,1
339,Chocolate Chip Cookie Dough,0,0,1
340,Organic Light Agave Nectar,0,0,1
341,Organic Pumpkin,0,0,1
342,Fluoride-Free Antiplaque & Whitening Peppermint Toothpaste,0,0,1
343,Pinot Noir,0,0,1
344,Orange & Lemon Flavor Variety Pack Sparkling Fruit Beverage,0,0,1
345,Premium Epsom Salt,0,0,1
346,Cotton Swabs,0,0,1
347,Wide Egg Noodles,0,0,1
348,Original Syrup,0,0,1
349,Variety Pack,0,0,1
350,Active Dry Yeast,0,0,1
351,Ground Black Pepper,0,0,1
352,"Wild Non-Pareil Capers, Sunkissed in the Mediterranean",0,0,1
353,Sweet & Salty Nut Granola Bars Peanut,0,0,1
354,Whole Hearts of Palm,0,0,1
355,Cinnamon Brown Sugar Breakfast Biscuits,0,0,1
356,Organic Strawberry Banana Fruit Yogurt Smoothie,0,0,1
357,Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender,0,0,1
358,Rosemary & Olive Oil Quinoa Blend,0,0,1
359,Essential Greens With Lime  Vegetable and Fruit Juice Blend,0,0,1
360,Sensitive Toilet Paper,0,0,1
361,9 Inch Plates,0,0,1
362,Nutri Grain Bars Multi Pack,0,0,1
363,Dishwasher Gel Free & Clear,0,0,1
364,Salsa Con Queso Medium,0,0,1
365,French Loaf,0,0,1
366,Organic Turmeric,0,0,1
367,Maple Quinoa Cluster With Chia Seeds,0,0,1
368,Pinot Grigio,0,0,1
369,Rosemary Mini Croccantini,0,0,1
370,"Chicken Base, Organic",0,0,1
371,Organic Black Mission Figs,0,0,1
372,Classic Almond Butter All Natural,0,0,1
373,Diet,0,0,1
374,Cinnamon Toast Crunch,0,0,1
375,Sliced Water Chestnuts,0,0,1
376,Gluten Free Pizza Crust,0,0,1
377,First Prunes,0,0,1
378,Ready-to-Bake 9 Inch Pie Crusts,0,0,1
379,Lemon Lime Thirst Quencher,0,0,1
380,100% Recycled Aluminum Foil,0,0,1
381,Plastic Wrap,0,0,1
382,Whole Chia Seeds,0,0,1
383,Cinnamon,0,0,1
384,Apples + Strawberries Organic Nibbly Fingers,0,0,1
385,Nutritional Yeast Seasoning,0,0,1
386,Chick Peas,0,0,1
387,No Calorie Sweetener Packets,0,0,1
388,"Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Tortellini",0,0,1
389,Macaroni Elbows,0,0,1
390,Frosted Flakes,0,0,1
391,Vitamin C Super Orange Dietary Supplement,0,0,1
392,Minced Ginger,0,0,1
393,Bay Leaves,0,0,1
394,Sour Batard,0,0,1
395,Apricots,0,0,1
396,VitaminWater Zero™ XXX Acai Blueberry Pomegranate,0,0,1
397,Frosted berry Strawberry Toaster Pastries,0,0,1
398,"Disinfecting Wipes, Lemon",0,0,1
399,Easy Open TabsBags,0,0,1
400,Ruby Red Grapefruit,0,0,1
401,Chives,0,0,1
402,Original Cooking Spray,0,0,1
403,"Muffins, Flax, Wild Blueberry",0,0,1
404,Disinfecting Wipes Fresh Scent,0,0,1
405,Pineapple Apple Mint Organic Cold Pressed Juicd,0,0,1
406,Organic Red Wine Vineger,0,0,1
407,Shelled Pistachios,0,0,1
408,Water Mineral,0,0,1
409,Buttermilk Biscuits,0,0,1
410,Everyday 2 Ply Premium Napkins,0,0,1
411,Vitamin D Added Evaporated Milk,0,0,1
412,Organic Infant Formula With Iron,0,0,1
413,Kitchen Scrubber Sponge,0,0,1
414,No Boil Lasagna,0,0,1
415,Classic Air-Puffed Vanilla Flavored Marshmallows,0,0,1
416,Apple Apple Applesauce On The Go Pouches,0,0,1
417,"Polenta, Organic, Traditional Italian",0,0,1
418,Unsweetened Cocoa Powder,0,0,1
419,Jet Puffed Miniature Marshmallows,0,0,1
420,Black Peppercorns,0,0,1
421,Organic Celery Bunch,0,0,1
422,Non-Scratch Scrub Sponges,0,0,1
423,Tofu Miso Ramen,0,0,1
424,Naturе's Calorie-Free Sweetener,0,0,1
425,Ancient Grain Granola Cranberry Pecan,0,0,1
426,Pistachios,0,0,1
427,Tall Kitchen Bag With Febreze Odor Shield,0,0,1
428,April Fresh Liquid Fabric Softener,0,0,1
429,Tortilla Strips Restaurant Style,0,0,1
430,Cold-Pressed Organic Grapefruit,0,0,1
431,All Purpose Cleaner,0,0,1
432,Organic Vitality Snack Chia Squeeze Blackberry Bliss,0,0,1
433,Multi Grain Sandwich Thins,0,0,1
434,Peppermint,0,0,1
435,Pearled Couscous Original Plain,0,0,1
436,Pure Kosher Dills,0,0,1
437,White Pita,0,0,1
438,Potato Chips Sweet Potato,0,0,1
439,Uncured Cracked Pepper Beef,0,0,1
440,Organic Reduced Sodium Tamari,0,0,1
441,Peanut Chocolate Candy,0,0,1
442,Regular,0,0,1
443,Black Beans Reduced Sodium,0,0,1
444,Sesame Seed,0,0,1
445,Mellow White Miso,0,0,1
446,Free & Clear Bleach,0,0,1
447,Kale Krunch The Original Quite Cheezy,0,0,1
448,Garbanzo Beans No Salt Added,0,0,1
449,Max Gel Clog Remover,0,0,1
450,Organic Fettuccine,0,0,1
451,Nilla Wafers,0,0,1
452,Plastic Spoons,0,0,1
453,Chicharrones Fried Pork Rinds,0,0,1
454,Deep Moisture Body Wash,0,0,1
455,Grain Free Chicken Formula Cat Food,0,0,1
456,Steak Strips,0,0,1
457,Organic Balsamic Vinaigrette,0,0,1
458,Organic Mountain Forest Honey Light Amber,0,0,1
459,Pike Place Roast Medium Keurig Brewed K-Cups,0,0,1
460,Light CocoWhip! Coconut Whipped Topping,0,0,1
461,Jet-Puffed Marshmallows,0,0,1
462,Super Soft Flour Tortillas Fajita Size 20 ct,0,0,1
463,Fajita Seasoning,0,0,1
464,Red Plastic Cups,0,0,1
465,Glacier Freeze Frost,0,0,1
466,Wild Alaskan Pink Salmon,0,0,1
467,Raisin Bran,0,0,1
468,Organic Lowfat Mango Kefir,0,0,1
469,Original Flavor Macaroni & Cheese Dinner,0,0,1
470,Oven Ready Lasagna,0,0,1
471,Organic Medium Chili,0,0,1
472,Smarty Dish Free and Clear Dishwasher Tablets,0,0,1
473,Versatile Stain Remover,0,0,1
474,"Tomatoes, Crushed, Organic",0,0,1
475,Tender Chicken & Stars Stage 3,0,0,1
476,Organic Really Peely Bendy Berry Fruit Tape,0,0,1
477,Sugarfree,0,0,1
478,Chocolate Strong Dark,0,0,1
479,Enlighten Mint Organic,0,0,1
480,Cherry Preserves,0,0,1
481,Made with Extra Virgin Olive Oil Pesto sauce with Basil,0,0,1
482,Grands! Flaky Layers Original Biscuits,0,0,1
483,Instant Action Cat Litter,0,0,1
484,Dijon Mustard Squeeze Bottle,0,0,1
485,Jalapeno,0,0,1
486,Peanut Butter Protein Replenishment Macrobar,0,0,1
487,Truffle Popcorn,0,0,1
488,Crunchy Chickpeas Falafel,0,0,1
489,Organic Orange Juice with Pulp,0,0,1
490,Seedless Strawberry Jam,0,0,1
491,Heavy Duty Aluminum Foil,0,0,1
492,Cheese Ravioli,0,0,1
493,"Select-A-Size Paper Towels, White",0,0,1
494,Fabric Softener Dryer Sheet Outdoor Fresh 160CT Fabric Enhancers,0,0,1
495,Flexible Straws,0,0,1
496,Vegetable Turkey Dinner Stage 2,0,0,1
497,Garden Spinach Herb 6 Ct Wraps,0,0,1
498,Cacao Powder,0,0,1
499,Diced Hot Green Chiles,0,0,1
500,Traditional 98% Fat Free,0,0,1
501,Original Fruit Chews,0,0,1
502,The Original Natural Herb Drops Cough Suppressant,0,0,1
503,Cool Mint® Antiseptic Adult Mouthwash,0,0,1
504,Organic Letter of the Day Oatmeal Cinnamon Cookies,0,0,1
505,Blueberry English Tea Scones,0,0,1
506,Salty Date Raincoast Crisps,0,0,1
507,Organic Hot Cocoa Mix,0,0,1
508,Petite Butter Croissant,0,0,1
509,Tall Kitchen Trash Bags with Flap Closure 13 gallon,0,0,1
510,Ultra Built Strong Paper Bowls,0,0,1
511,Gluten Free Fudge Covered Pretzels,0,0,1
512,Straightshot Probiotic Oat Drink,0,0,1
513,Dolmas Stuffed Grape Leaves,0,0,1
514,Rustic Baguette,0,0,1
515,Merlot,0,0,1
516,Vegan Smooth Chocolate Nutritional Shake,0,0,1
517,Baby Wipes Sensitive,0,0,1
518,Cranberry Almond Chicken Salad,0,0,1
519,Cheddar Cheezy Mac,0,0,1
520,Organic Cheesy Ravioli,0,0,1
521,Wastebasket Liners,0,0,1
522,Fruit Punch,0,0,1
523,Raspberry Lime Seltzer,0,0,1
524,Brownie Bites,0,0,1
525,Little Bites Blueberry Muffin Pouches,0,0,1
526,Lightly Breaded Fish Sticks,0,0,1
527,Organic Oil Canola,0,0,1
528,Olive Oil & Sel Gris Sourdough Flatbread,0,0,1
529,Watermelon Lemonade,0,0,1
530,Gluten Free Panko Breadcrumbs,0,0,1
531,Organics Gummy Bears,0,0,1
532,Vanilla Cupcakes,0,0,1
533,Premium Belgian Lager,0,0,1
534,Cocoa Powder,0,0,1
535,Jasmine Green Iced Tea,0,0,1
536,Rose,0,0,1
537,Moroccan Argan Oil + Argan Stem Cell Triple Moisture Conditioner,0,0,1
538,Coppertop AA Batteries,0,0,1
539,Jet-Dry Original Rinse Aid,0,0,1
540,Nacho Sliced Jalapenos,0,0,1
541,Spearmint Sugar-Free Gum,0,0,1
542,Kit Kat & Reese's Assorted Miniatures,0,0,1
543,House Napa Cabbage,0,0,1
544,CASCAD ACTION PACS REG 60CT,0,0,1
545,Organic Royal Rainbow Quinoa,0,0,1
546,Organic Jelly Beans,0,0,1
547,IPA,0,0,1
548,Dark Chocolate Sea Salt Caramels,0,0,1
549,Prepared White Horseradish,0,0,1
550,Raw Probiotics Women probiotic 85 Billion 32 Strains capsules,0,0,1
551,Swiss Rolls,0,0,1
552,Medium Salsa Con Queso,0,0,1
553,Mexican Style Hominy,0,0,1
554,Fresh Care Flushable Cleansing Cloths Refills,0,0,1
555,Freshmates Double Pack Adult Flushable Wipes,0,0,1
556,Free & Clear Diapers,0,0,1
557,Organix Grain Free Chicken & Vegetable Dog Food,0,0,1
558,Antioxidant Infusions Costa Rica Clementine,0,0,1
559,Gelatin Free Snacks Natural Orange Gels,0,0,1
560,Tulips 10 Stem,0,0,1
561,Organic Ice Cream Cones,0,0,1
562,Golden Raisins,0,0,1
563,Magic Eraser Extra Power,0,0,1
564,Licorice Soft Eating Raspberry,0,0,1
565,Tofu Shirataki,0,0,1
566,Angel Food Cake,0,0,1
567,Brut,0,0,1
568,"Almondmilk, Pure, Chocolate Protein",0,0,1
569,Organic Diced Tomatoes with Italian Herbs,0,0,1
570,Harvest Snaps Wasabi Ranch,0,0,1
571,"Antibacterial Kitchen All Purpose Spray Cleaner, Lemon Fresh",0,0,1
572,Miniatures Assortment Party Bag,0,0,1
573,Ibuprofen Liquid Gels,0,0,1
574,Gluten Free Matzo-Style Squares,0,0,1
575,Assorted Compostable Flatware,0,0,1
576,Variety Pack Hard Cider,0,0,1
577,Gobble Gobble Turkey Pouch Stage 3,0,0,1
578,Lite Coconut Milk,0,0,1
579,Classic Fajita Skillet Sauce with Chipotle and Lime,0,0,1
580,Donettes Powdered Mini Donuts,0,0,1
581,Flat Fillets of Anchovies,0,0,1
582,Special K Original,0,0,1
583,Ripened Raspberry Fruit Leather,0,0,1
584,Makeup Remover Cleansing Towelettes,0,0,1
585,Prosecco,0,0,1
586,Tropical Punch,0,0,1
587,Organic Honey Grade A,0,0,1
588,Peppercorn Medley Grinder,0,0,1
589,Gluten Free Dream Cookies Chocolate Vanilla Creme,0,0,1
590,Instant Vanilla Pudding & Pie Filling,0,0,1
591,Concord Grape Jelly,0,0,1
592,Coffee Cold-Brew Espresso,0,0,1
593,G Series Blueberry Pomegranate,0,0,1
594,Classic Pancakes,0,0,1
595,Tea Tree Oil Dental Floss,0,0,1
596,Madras Lentils Indian Cuisine,0,0,1
597,Uncured Beef Hot Dog,0,0,1
598,Naked Sponges - 2 CT,0,0,1
599,Smoked Paprika,0,0,1
600,"Goji Berries, Sun-Dried",0,0,1
601,Raw Hummus,0,0,1
602,Israeli Couscous,0,0,1
603,Reese Puffs,0,0,1
604,Organic Mild Vinegar Beets,0,0,1
605,Lavender Fabric Softening Dryer Sheets,0,0,1
606,Mediterranean Apricots,0,0,1
607,Ultra Dawn Ultra Dishwashing Liquid Antibacterial Orange 21.6 Oz Dish Care,0,0,1
608,Farmhouse Culture Classic Caraway Kraut,0,0,1
609,Cilantro Bunch,0,0,1
610,Large Croissants,0,0,1
611,Primordial Himalayan Sea Salt,0,0,1
612,Fruit & Cream Variety Pack,0,0,1
613,Organic Cotton Balls,0,0,1
614,Raspberry Filmjolk Non-Fat Drinkable Yogurt,0,0,1
615,"Garam Masala, Organic",0,0,1
616,Half Steam Pan,0,0,1
617,Toilet Bowl Cleaner with Bleach Rain Clean,0,0,1
618,Snack Sticks Chicken & Rice Recipe Dog Treats,0,0,1
619,"Healthy Grains with Chia Seeds, Raspberry Clusters",0,0,1
620,Whiskey,0,0,1
621,All Natural Fresh Buttermilk Ranch Dressing Marinade,0,0,1
